temp,humidity,windspeed,sealevelpressure,PM2.5
4.2,77.55,27.6,1030,14
2.3,86.42,24.3,1030.8,22
4,88.94,31.4,1016,13
0.2,83.65,24.4,1016.8,15
-3,80.28,17.2,1024.4,36
-4.7,85.52,13.5,1028.1,53
-5.2,83.71,6.9,1018.4,66
3.5,87.84,40.6,999.8,20
-3.5,82.53,20.9,1010.8,23
-9.3,86.61,14.3,1016.6,51
-8.6,91.24,25.1,1014.9,60
-4.6,91,20.6,1009.5,42
-2.1,91.97,9.9,1008.1,80
1.8,94.77,11.1,1015.7,126
9.8,89.85,28.2,1016.7,16
9.7,93.54,25,1020.4,19
8.5,89,27.5,1018.1,25
8.8,72.15,37.8,1009.4,8
7.9,82.87,24.6,1000.4,7
5,90,28.6,1000.3,14
1,75.29,39.3,1011,7
-4.3,74.71,14.4,1021.1,30
-4.5,78.16,8.1,1014.4,54
-1.3,78.69,10.2,1005.8,51
-3.6,88.5,19.6,1018.6,50
-2.9,77.5,17,1033.6,30
-4.6,79.5,11.8,1036.9,36
0.8,85.6,31.4,1032.7,32
2.9,86.3,32.3,1025.4,25
0.2,82.7,25,1027.5,33
-1.2,84.3,31.6,1022.3,62
0.6,88.8,45.9,1016.2,17
-0.8,82.3,26.8,1031.8,20
-1,82.1,27.5,1026.3,38
0.2,77.1,37.8,1012.4,13
-2.5,80.3,31.4,1018,15
-3.3,86.4,21.6,1022,23
-2.3,79.4,20.5,1030.6,42
-4.7,75.2,10.2,1035.5,60
0.2,91,19.7,1029.8,44
1,95,24.9,1025.7,33
1,88.3,31.6,1018.8,25
1.8,87.5,38.7,1016.3,14
0.4,83.3,40.7,1020.6,16
3.8,76.1,54.3,1006.3,5
1.3,72.8,38.6,1007.3,22
0,85.7,23.6,1007.9,30
1.9,90.5,31.4,1003.2,11
0.5,84.5,20.9,1019,19
2.7,85.9,14.8,1013.6,22
3.1,77.3,38.1,1015,13
2.7,78.6,34.8,1010,8
2.6,84.5,30.4,1005.1,12
3.1,81.1,35.2,1021.7,11
6.1,91.9,27.1,1024.8,16
6.7,74.3,19.2,1021,19
4.7,82.1,33.3,1020.5,19
0.9,69.4,18,1033,23
-0.4,65.1,11.8,1025.5,41
1.2,64.7,13.8,1016.1,34
2.6,75.6,17.8,1013.7,43
5.4,69.6,37.4,1009.3,35
7.7,71.3,51.5,995.6,4
6.3,60.7,35.9,1007.2,8
7.5,46.8,53,1008.7,6
3.1,73.4,37.9,1012,9
5.8,72.6,40.4,1000.9,7
3.4,74.1,34.7,1010.5,10
3.6,77.3,33,1019.7,13
3.4,67,18.6,1020.5,19
2.6,76.3,27.6,1018.4,18
0.2,87.7,13.5,1029.4,41
1.1,79.6,17.9,1034.5,37
-0.3,72.3,26.3,1034.4,18
-0.7,65.3,15.6,1033.6,33
-0.9,66.4,13.4,1025.2,58
0.4,63,17.8,1018.2,58
0.4,79,12.7,1019.7,38
0.5,71.2,17.3,1022.7,23
-0.5,65.5,14.4,1022.7,24
-0.2,63.2,15.8,1021.3,29
0.9,71.4,18.8,1023.3,28
3.2,66.7,18.6,1023.4,41
-1.1,60.9,26,1032.6,18
-3,52,24.9,1035.2,24
-0.8,46.5,13.6,1031.6,34
1.2,51.6,18.9,1027.9,54
4,52.6,14.3,1030.3,31
